consensus sequence output,Number of input sequences considered,sequence found in vulgar file,number of aligned reads,# skipped reads due to low rel. score,Length of alignment,Coverage minimum,Coverage maximum,Coverage mean,Coverage median,total_length,num_n,num_gaps
BGENL084-23_r_1.3_s_100,             1307802,  67,              54,               13,                              1533,                                 0,                                 15,                                    3.13,                                  2.00,1533,40,564
BGENL084-23_r_1.3_s_50,             1307802,  197,              91,               75,                              1533,                                 0,                                 17,                                    4.14,                                  4.00,1533,13,432
BGENL084-23_r_1.5_s_100,             1307802,  67,              40,               27,                              1533,                                 0,                                 15,                                    2.30,                                  2.00,1533,9,750
BGENL084-23_r_1.5_s_50,             1307802,  197,              66,               100,                              1533,                                 0,                                 17,                                    2.99,                                  2.00,1533,16,678
BGENL085-23_r_1_s_100,             711424,  72,              58,               14,                              1545,                                 0,                                 18,                                    3.80,                                  4.00,1545,82,261
BGENL085-23_r_1_s_50,             711424,  151,              107,               28,                              1545,                                 0,                                 18,                                    5.57,                                  5.00,1545,57,51
BGENL085-23_r_1.3_s_100,             711424,  72,              44,               28,                              1545,                                 0,                                 14,                                    2.59,                                  2.00,1545,19,453
BGENL085-23_r_1.3_s_50,             711424,  151,              85,               50,                              1545,                                 0,                                 14,                                    3.99,                                  4.00,1545,18,219
BGENL085-23_r_1.5_s_100,             711424,  72,              37,               35,                              1545,                                 0,                                 14,                                    2.02,                                  0.00,1545,3,828
BGENL085-23_r_1.5_s_50,             711424,  151,              57,               78,                              1545,                                 0,                                 14,                                    2.64,                                  2.00,1545,4,684
BGENL086-23_r_1_s_100,             2691172,  225,              217,               6,                              1545,                                 0,                                 48,                                    13.38,                                  12.00,1545,0,3
BGENL086-23_r_1_s_50,             2691172,  396,              322,               19,                              1545,                                 0,                                 50,                                    16.74,                                  14.00,1545,0,3
BGENL086-23_r_1.3_s_100,             2691172,  225,              215,               8,                              1545,                                 0,                                 48,                                    13.19,                                  11.00,1545,0,3
BGENL086-23_r_1.3_s_50,             2691172,  396,              312,               31,                              1545,                                 0,                                 50,                                    16.29,                                  14.00,1545,0,3
BGENL086-23_r_1.5_s_100,             2691172,  225,              191,               32,                              1545,                                 0,                                 45,                                    11.70,                                  9.00,1545,0,3
BGENL086-23_r_1.5_s_50,             2691172,  396,              259,               84,                              1545,                                 0,                                 47,                                    13.75,                                  12.00,1545,0,3
BGENL087-23_r_1_s_100,             909278,  51,              43,               8,                              1545,                                 0,                                 10,                                    2.55,                                  1.00,1545,12,687
BGENL087-23_r_1_s_50,             909278,  170,              117,               28,                              1545,                                 0,                                 20,                                    4.73,                                  4.00,1545,27,282
BGENL087-23_r_1.3_s_100,             909278,  51,              27,               24,                              1545,                                 0,                                 6,                                    1.44,                                  0.00,1545,0,921
BGENL087-23_r_1.3_s_50,             909278,  170,              96,               50,                              1545,                                 0,                                 14,                                    3.42,                                  2.00,1545,2,522
BGENL087-23_r_1.5_s_100,             909278,  51,              20,               31,                              1545,                                 0,                                 6,                                    1.05,                                  0.00,1545,0,1143
BGENL087-23_r_1.5_s_50,             909278,  170,              67,               82,                              1545,                                 0,                                 10,                                    2.28,                                  2.00,1545,2,696
BGENL088-23_r_1_s_100,             3148855,  104,              96,               8,                              1533,                                 0,                                 14,                                    6.19,                                  6.00,1533,28,33
BGENL088-23_r_1_s_50,             3148855,  272,              183,               50,                              1533,                                 0,                                 52,                                    8.83,                                  7.00,1533,39,12
BGENL088-23_r_1.3_s_100,             3148855,  104,              92,               12,                              1533,                                 0,                                 14,                                    5.87,                                  6.00,1533,21,93
BGENL088-23_r_1.3_s_50,             3148855,  272,              115,               118,                              1533,                                 0,                                 15,                                    6.53,                                  6.00,1533,27,93
BGENL088-23_r_1.5_s_100,             3148855,  104,              81,               23,                              1533,                                 0,                                 14,                                    5.20,                                  5.00,1533,23,126
BGENL088-23_r_1.5_s_50,             3148855,  272,              92,               141,                              1533,                                 0,                                 15,                                    5.48,                                  5.00,1533,22,126
BGENL089-23_r_1_s_100,             2015478,  162,              160,               0,                              1533,                                 0,                                 24,                                    8.48,                                  8.00,1533,2,84
BGENL089-23_r_1_s_50,             2015478,  349,              312,               9,                              1533,                                 0,                                 37,                                    13.10,                                  13.00,1533,2,27
BGENL089-23_r_1.3_s_100,             2015478,  162,              159,               1,                              1533,                                 0,                                 24,                                    8.40,                                  8.00,1533,2,84
BGENL089-23_r_1.3_s_50,             2015478,  349,              285,               38,                              1533,                                 0,                                 37,                                    12.22,                                  12.00,1533,2,27
BGENL089-23_r_1.5_s_100,             2015478,  162,              149,               11,                              1533,                                 0,                                 24,                                    7.62,                                  7.00,1533,0,84
BGENL089-23_r_1.5_s_50,             2015478,  349,              266,               65,                              1533,                                 0,                                 30,                                    11.13,                                  10.00,1533,0,27
BGENL090-23_r_1_s_100,             3499252,  727,              699,               13,                              1533,                                 8,                                 86,                                    40.18,                                  37.00,1533,3,0
BGENL090-23_r_1_s_50,             3499252,  1707,              1408,               157,                              1533,                                 17,                                 132,                                    64.95,                                  60.00,1533,27,0
BGENL090-23_r_1.3_s_100,             3499252,  727,              643,               69,                              1533,                                 8,                                 85,                                    36.29,                                  32.00,1533,0,0
BGENL090-23_r_1.3_s_50,             3499252,  1707,              1023,               550,                              1533,                                 13,                                 117,                                    48.45,                                  43.00,1533,10,0
BGENL090-23_r_1.5_s_100,             3499252,  727,              590,               122,                              1533,                                 8,                                 81,                                    33.49,                                  30.00,1533,0,0
BGENL090-23_r_1.5_s_50,             3499252,  1707,              806,               772,                              1533,                                 9,                                 102,                                    40.07,                                  37.00,1533,0,0
BGENL091-23_r_1_s_100,             1446226,  195,              175,               17,                              1545,                                 0,                                 28,                                    9.98,                                  9.00,1545,60,6
BGENL091-23_r_1_s_50,             1446226,  411,              296,               61,                              1545,                                 0,                                 30,                                    13.78,                                  13.00,1545,41,3
BGENL091-23_r_1.3_s_100,             1446226,  195,              153,               39,                              1545,                                 0,                                 27,                                    8.35,                                  7.00,1545,34,9
BGENL091-23_r_1.3_s_50,             1446226,  411,              253,               106,                              1545,                                 0,                                 27,                                    11.41,                                  10.00,1545,28,3
BGENL091-23_r_1.5_s_100,             1446226,  195,              122,               70,                              1545,                                 0,                                 26,                                    6.41,                                  4.00,1545,19,108
BGENL091-23_r_1.5_s_50,             1446226,  411,              181,               179,                              1545,                                 0,                                 26,                                    8.15,                                  6.00,1545,22,102
BGENL092-23_r_1_s_100,             383675,  74,              62,               12,                              1545,                                 0,                                 12,                                    3.66,                                  4.00,1545,32,333
BGENL092-23_r_1_s_50,             383675,  132,              106,               15,                              1545,                                 0,                                 14,                                    5.23,                                  4.00,1545,51,165
BGENL092-23_r_1.3_s_100,             383675,  74,              60,               14,                              1545,                                 0,                                 12,                                    3.50,                                  4.00,1545,26,417
BGENL092-23_r_1.3_s_50,             383675,  132,              90,               31,                              1545,                                 0,                                 14,                                    4.47,                                  4.00,1545,37,321
BGENL092-23_r_1.5_s_100,             383675,  74,              52,               22,                              1545,                                 0,                                 10,                                    2.93,                                  2.00,1545,17,486
BGENL092-23_r_1.5_s_50,             383675,  132,              76,               45,                              1545,                                 0,                                 12,                                    3.65,                                  4.00,1545,35,402
BGENL093-23_r_1_s_100,             1597011,  166,              160,               4,                              1545,                                 0,                                 27,                                    8.46,                                  8.00,1545,31,147
BGENL093-23_r_1_s_50,             1597011,  437,              364,               24,                              1545,                                 0,                                 45,                                    14.85,                                  14.00,1545,60,6
BGENL093-23_r_1.3_s_100,             1597011,  166,              147,               17,                              1545,                                 0,                                 26,                                    7.61,                                  8.00,1545,25,147
BGENL093-23_r_1.3_s_50,             1597011,  437,              307,               86,                              1545,                                 0,                                 38,                                    12.52,                                  12.00,1545,36,12
BGENL093-23_r_1.5_s_100,             1597011,  166,              128,               36,                              1545,                                 0,                                 18,                                    6.49,                                  6.00,1545,8,270
BGENL093-23_r_1.5_s_50,             1597011,  437,              217,               178,                              1545,                                 0,                                 22,                                    9.08,                                  10.00,1545,9,120
BGENL094-23_r_1_s_100,             19370245,  1013,              997,               4,                              1545,                                 0,                                 104,                                    51.67,                                  50.00,1545,0,9
BGENL094-23_r_1_s_50,             19370245,  2462,              2311,               44,                              1545,                                 1,                                 162,                                    91.47,                                  87.00,1545,0,0
BGENL094-23_r_1.3_s_100,             19370245,  1013,              990,               11,                              1545,                                 0,                                 104,                                    51.21,                                  50.00,1545,0,9
BGENL094-23_r_1.3_s_50,             19370245,  2462,              2230,               134,                              1545,                                 1,                                 156,                                    88.51,                                  85.00,1545,0,0
BGENL094-23_r_1.5_s_100,             19370245,  1013,              893,               108,                              1545,                                 0,                                 104,                                    45.74,                                  42.00,1545,0,9
BGENL094-23_r_1.5_s_50,             19370245,  2462,              1878,               491,                              1545,                                 0,                                 150,                                    74.69,                                  74.00,1545,0,3
BGENL095-23_r_1_s_100,             32374661,  1582,              1555,               3,                              1545,                                 0,                                 134,                                    84.34,                                  87.00,1545,0,6
BGENL095-23_r_1_s_50,             32374661,  3079,              2676,               132,                              1545,                                 0,                                 204,                                    120.40,                                  120.00,1545,0,6
BGENL095-23_r_1.3_s_100,             32374661,  1582,              1542,               16,                              1545,                                 0,                                 134,                                    83.54,                                  86.00,1545,0,6
BGENL095-23_r_1.3_s_50,             32374661,  3079,              2514,               300,                              1545,                                 0,                                 192,                                    114.33,                                  114.00,1545,0,6
BGENL095-23_r_1.5_s_100,             32374661,  1582,              1333,               225,                              1545,                                 0,                                 117,                                    71.20,                                  74.00,1545,0,6
BGENL095-23_r_1.5_s_50,             32374661,  3079,              2065,               757,                              1545,                                 0,                                 153,                                    93.60,                                  98.00,1545,0,6
BGENL096-23_r_1_s_100,             45670188,  7785,              7726,               36,                              1533,                                 218,                                 882,                                    517.29,                                  505.00,1533,0,0
BGENL096-23_r_1_s_50,             45670188,  11671,              10511,               344,                              1533,                                 393,                                 977,                                    613.46,                                  594.00,1533,0,0
BGENL096-23_r_1.3_s_100,             45670188,  7785,              7112,               650,                              1533,                                 35,                                 878,                                    470.63,                                  478.00,1533,0,0
BGENL096-23_r_1.3_s_50,             45670188,  11671,              9333,               1527,                              1533,                                 43,                                 970,                                    544.06,                                  546.00,1533,0,0
BGENL096-23_r_1.5_s_100,             45670188,  7785,              4980,               2782,                              1533,                                 0,                                 865,                                    316.59,                                  333.00,1533,0,42
BGENL096-23_r_1.5_s_50,             45670188,  11671,              6391,               4479,                              1533,                                 0,                                 942,                                    361.06,                                  379.00,1533,0,42
BGENL097-23_r_1_s_100,             41491185,  3318,              3306,               2,                              1533,                                 62,                                 407,                                    212.38,                                  208.00,1533,0,0
BGENL097-23_r_1_s_50,             41491185,  5489,              4879,               186,                              1533,                                 122,                                 472,                                    266.17,                                  254.00,1533,0,0
BGENL097-23_r_1.3_s_100,             41491185,  3318,              3063,               245,                              1533,                                 8,                                 405,                                    194.41,                                  197.00,1533,0,0
BGENL097-23_r_1.3_s_50,             41491185,  5489,              4318,               747,                              1533,                                 10,                                 462,                                    235.46,                                  239.00,1533,0,0
BGENL097-23_r_1.5_s_100,             41491185,  3318,              2219,               1089,                              1533,                                 0,                                 402,                                    135.95,                                  141.00,1533,0,39
BGENL097-23_r_1.5_s_50,             41491185,  5489,              3025,               2042,                              1533,                                 0,                                 453,                                    161.04,                                  172.00,1533,0,39
BGENL098-23_r_1_s_100,             23211015,  1585,              1567,               6,                              1533,                                 33,                                 175,                                    105.05,                                  103.00,1533,0,0
BGENL098-23_r_1_s_50,             23211015,  3855,              2455,               394,                              1533,                                 81,                                 216,                                    134.32,                                  131.00,1533,0,0
BGENL098-23_r_1.3_s_100,             23211015,  1585,              1455,               118,                              1533,                                 9,                                 175,                                    96.73,                                  100.00,1533,0,0
BGENL098-23_r_1.3_s_50,             23211015,  3855,              2089,               760,                              1533,                                 13,                                 204,                                    116.96,                                  121.00,1533,1,0
BGENL098-23_r_1.5_s_100,             23211015,  1585,              1010,               563,                              1533,                                 0,                                 175,                                    65.35,                                  70.00,1533,0,45
BGENL098-23_r_1.5_s_50,             23211015,  3855,              1355,               1496,                              1533,                                 0,                                 200,                                    75.93,                                  84.00,1533,0,42
BGENL099-23_r_1_s_100,             12180156,  4889,              4873,               5,                              1533,                                 118,                                 405,                                    289.72,                                  291.00,1533,0,0
BGENL099-23_r_1_s_50,             12180156,  6872,              6535,               137,                              1533,                                 214,                                 493,                                    340.79,                                  341.00,1533,0,0
BGENL099-23_r_1.3_s_100,             12180156,  4889,              4853,               26,                              1533,                                 118,                                 398,                                    288.11,                                  288.00,1533,0,0
BGENL099-23_r_1.3_s_50,             12180156,  6872,              6427,               255,                              1533,                                 214,                                 487,                                    336.40,                                  336.00,1533,0,0
BGENL099-23_r_1.5_s_100,             12180156,  4889,              4794,               86,                              1533,                                 118,                                 396,                                    284.28,                                  284.00,1533,0,0
BGENL099-23_r_1.5_s_50,             12180156,  6872,              6240,               451,                              1533,                                 208,                                 481,                                    328.68,                                  330.00,1533,0,0
BGENL100-23_r_1_s_100,             459923,  154,              149,               5,                              1533,                                 0,                                 26,                                    10.75,                                  11.00,1533,40,3
BGENL100-23_r_1_s_50,             459923,  219,              193,               14,                              1533,                                 0,                                 28,                                    12.24,                                  12.00,1533,41,3
BGENL100-23_r_1.3_s_100,             459923,  154,              122,               32,                              1533,                                 0,                                 21,                                    8.56,                                  8.00,1533,48,108
BGENL100-23_r_1.3_s_50,             459923,  219,              156,               51,                              1533,                                 0,                                 25,                                    9.70,                                  9.00,1533,28,48
BGENL100-23_r_1.5_s_100,             459923,  154,              93,               61,                              1533,                                 0,                                 21,                                    6.34,                                  5.00,1533,20,210
BGENL100-23_r_1.5_s_50,             459923,  219,              110,               97,                              1533,                                 0,                                 25,                                    6.85,                                  6.00,1533,18,186
BGENL101-23_r_1_s_100,             65629234,  12790,              12723,               10,                              1533,                                 394,                                 1027,                                    766.10,                                  764.00,1533,0,0
BGENL101-23_r_1_s_50,             65629234,  18220,              17375,               305,                              1533,                                 570,                                 1325,                                    909.94,                                  889.00,1533,0,0
BGENL101-23_r_1.3_s_100,             65629234,  12790,              12636,               99,                              1533,                                 394,                                 1023,                                    759.89,                                  760.00,1533,0,0
BGENL101-23_r_1.3_s_50,             65629234,  18220,              16953,               773,                              1533,                                 551,                                 1313,                                    891.31,                                  866.00,1533,0,0
BGENL101-23_r_1.5_s_100,             65629234,  12790,              12444,               295,                              1533,                                 391,                                 1009,                                    748.03,                                  748.00,1533,0,0
BGENL101-23_r_1.5_s_50,             65629234,  18220,              16278,               1484,                              1533,                                 542,                                 1278,                                    863.65,                                  842.00,1533,0,0
BGENL102-23_r_1_s_100,             22295633,  5041,              4969,               28,                              1533,                                 97,                                 407,                                    301.90,                                  305.00,1533,0,0
BGENL102-23_r_1_s_50,             22295633,  8264,              7320,               379,                              1533,                                 181,                                 542,                                    378.95,                                  382.00,1533,0,0
BGENL102-23_r_1.3_s_100,             22295633,  5041,              4700,               297,                              1533,                                 97,                                 405,                                    281.55,                                  283.00,1533,0,0
BGENL102-23_r_1.3_s_50,             22295633,  8264,              6581,               1127,                              1533,                                 181,                                 526,                                    340.55,                                  337.00,1533,0,0
BGENL102-23_r_1.5_s_100,             22295633,  5041,              4352,               646,                              1533,                                 97,                                 389,                                    258.87,                                  257.00,1533,0,0
BGENL102-23_r_1.5_s_50,             22295633,  8264,              5845,               1865,                              1533,                                 164,                                 428,                                    304.77,                                  299.00,1533,0,0
BGENL103-23_r_1_s_100,             394454,  66,              62,               4,                              1533,                                 0,                                 12,                                    4.20,                                  4.00,1533,88,303
BGENL103-23_r_1_s_50,             394454,  140,              88,               38,                              1533,                                 0,                                 16,                                    5.20,                                  5.00,1533,79,270
BGENL103-23_r_1.3_s_100,             394454,  66,              46,               20,                              1533,                                 0,                                 10,                                    2.88,                                  3.00,1533,100,468
BGENL103-23_r_1.3_s_50,             394454,  140,              59,               67,                              1533,                                 0,                                 14,                                    3.38,                                  4.00,1533,96,435
BGENL103-23_r_1.5_s_100,             394454,  66,              37,               29,                              1533,                                 0,                                 8,                                    2.19,                                  2.00,1533,40,624
BGENL103-23_r_1.5_s_50,             394454,  140,              43,               83,                              1533,                                 0,                                 8,                                    2.40,                                  2.00,1533,61,588
BGENL104-23_r_1_s_100,             4096065,  1272,              1256,               2,                              1533,                                 32,                                 119,                                    72.68,                                  72.00,1533,0,0
BGENL104-23_r_1_s_50,             4096065,  1694,              1591,               26,                              1533,                                 43,                                 136,                                    83.19,                                  81.00,1533,0,0
BGENL104-23_r_1.3_s_100,             4096065,  1272,              1246,               14,                              1533,                                 32,                                 119,                                    72.02,                                  71.00,1533,0,0
BGENL104-23_r_1.3_s_50,             4096065,  1694,              1560,               70,                              1533,                                 43,                                 134,                                    81.86,                                  79.00,1533,0,0
BGENL104-23_r_1.5_s_100,             4096065,  1272,              1221,               48,                              1533,                                 31,                                 118,                                    70.53,                                  69.00,1533,0,0
BGENL104-23_r_1.5_s_50,             4096065,  1694,              1498,               146,                              1533,                                 39,                                 133,                                    79.19,                                  77.00,1533,0,0
BGENL105-23_r_1_s_100,             19702752,  1760,              1738,               4,                              1533,                                 59,                                 166,                                    121.60,                                  122.00,1533,0,0
BGENL105-23_r_1_s_50,             19702752,  3830,              2476,               458,                              1533,                                 84,                                 357,                                    143.22,                                  140.00,1533,0,0
BGENL105-23_r_1.3_s_100,             19702752,  1760,              1709,               33,                              1533,                                 59,                                 166,                                    119.33,                                  119.00,1533,0,0
BGENL105-23_r_1.3_s_50,             19702752,  3830,              2270,               667,                              1533,                                 84,                                 338,                                    135.06,                                  129.00,1533,1,0
BGENL105-23_r_1.5_s_100,             19702752,  1760,              1638,               104,                              1533,                                 58,                                 166,                                    114.64,                                  113.00,1533,0,0
BGENL105-23_r_1.5_s_50,             19702752,  3830,              1967,               971,                              1533,                                 80,                                 184,                                    124.25,                                  121.00,1533,0,0
BGENL106-23_r_1_s_100,             12877459,  2322,              2301,               2,                              1533,                                 80,                                 216,                                    151.28,                                  153.00,1533,0,0
BGENL106-23_r_1_s_50,             12877459,  4065,              3050,               342,                              1533,                                 99,                                 275,                                    174.07,                                  172.00,1533,0,0
BGENL106-23_r_1.3_s_100,             12877459,  2322,              2280,               23,                              1533,                                 80,                                 213,                                    149.79,                                  152.00,1533,0,0
BGENL106-23_r_1.3_s_50,             12877459,  4065,              2884,               512,                              1533,                                 93,                                 258,                                    167.64,                                  166.00,1533,0,0
BGENL106-23_r_1.5_s_100,             12877459,  2322,              2226,               79,                              1533,                                 78,                                 210,                                    146.37,                                  149.00,1533,0,0
BGENL106-23_r_1.5_s_50,             12877459,  4065,              2669,               729,                              1533,                                 91,                                 233,                                    159.52,                                  161.00,1533,0,0
BGENL107-23_r_1_s_100,             4146959,  1612,              1594,               6,                              1533,                                 54,                                 195,                                    110.13,                                  107.00,1533,0,0
BGENL107-23_r_1_s_50,             4146959,  2047,              1855,               74,                              1533,                                 69,                                 200,                                    118.68,                                  111.00,1533,0,0
BGENL107-23_r_1.3_s_100,             4146959,  1612,              1581,               19,                              1533,                                 51,                                 191,                                    109.13,                                  106.00,1533,0,0
BGENL107-23_r_1.3_s_50,             4146959,  2047,              1772,               159,                              1533,                                 65,                                 194,                                    115.10,                                  110.00,1533,0,0
BGENL107-23_r_1.5_s_100,             4146959,  1612,              1559,               41,                              1533,                                 50,                                 190,                                    107.61,                                  103.00,1533,0,0
BGENL107-23_r_1.5_s_50,             4146959,  2047,              1722,               209,                              1533,                                 60,                                 193,                                    112.64,                                  106.00,1533,0,0
BGENL108-23_r_1_s_100,             2400860,  1313,              1232,               69,                              1533,                                 33,                                 170,                                    87.89,                                  87.00,1533,1,0
BGENL108-23_r_1_s_50,             2400860,  1699,              1434,               159,                              1533,                                 43,                                 178,                                    94.41,                                  93.00,1533,1,0
BGENL108-23_r_1.3_s_100,             2400860,  1313,              1139,               162,                              1533,                                 33,                                 163,                                    80.48,                                  79.00,1533,0,0
BGENL108-23_r_1.3_s_50,             2400860,  1699,              1306,               289,                              1533,                                 37,                                 173,                                    85.54,                                  84.00,1533,0,0
BGENL108-23_r_1.5_s_100,             2400860,  1313,              1099,               202,                              1533,                                 32,                                 160,                                    77.67,                                  75.00,1533,0,0
BGENL108-23_r_1.5_s_50,             2400860,  1699,              1236,               363,                              1533,                                 35,                                 169,                                    81.73,                                  79.00,1533,0,0
BGENL109-23_r_1_s_100,             7175012,  48080,              47806,               121,                              1533,                                 2399,                                 5076,                                    3683.47,                                  3601.00,1533,0,0
BGENL109-23_r_1_s_50,             7175012,  52922,              52052,               329,                              1533,                                 2681,                                 5169,                                    3812.35,                                  3724.00,1533,0,0
BGENL109-23_r_1.3_s_100,             7175012,  48080,              47397,               534,                              1533,                                 2386,                                 5072,                                    3651.05,                                  3560.00,1533,0,0
BGENL109-23_r_1.3_s_50,             7175012,  52922,              51452,               954,                              1533,                                 2607,                                 5163,                                    3771.50,                                  3684.00,1533,0,0
BGENL109-23_r_1.5_s_100,             7175012,  48080,              46958,               984,                              1533,                                 2385,                                 5042,                                    3620.22,                                  3535.00,1533,0,0
BGENL109-23_r_1.5_s_50,             7175012,  52922,              50768,               1671,                              1533,                                 2583,                                 5126,                                    3732.17,                                  3637.00,1533,0,0
BGENL110-23_r_1_s_100,             14506998,  1389,              1357,               2,                              1533,                                 47,                                 139,                                    104.66,                                  105.00,1533,0,0
BGENL110-23_r_1_s_50,             14506998,  3073,              1856,               416,                              1533,                                 78,                                 220,                                    119.25,                                  116.00,1533,1,0
BGENL110-23_r_1.3_s_100,             14506998,  1389,              1343,               16,                              1533,                                 47,                                 139,                                    103.56,                                  104.00,1533,0,0
